"Data Element (Field Name)","Type [Length]","Format / Values"
"`Organisation Path`_ (organisation_path)

",string,"A sequence of colon separated Organisation Codes that fully specifies the upload organisation."
"`Service Contact Key`_ (service_contact_key)

",string,"This is a number or code assigned to each service contact. The Service Contact Key is unique and stable for each service contact at the level of the organisation."
"`Episode Key`_ (episode_key)

",string,"This is a number or code assigned to each episode. The Episode Key is unique and stable for each episode at the level of the organisation."
"`Practitioner Key`_ (practitioner_key)

",string,"A unique identifier for a practitioner within the PMHC top level organisation."
"`Service Contact - Date`_ (service_contact_date)



METeOR: `494356 <http://meteor.aihw.gov.au/content/index.phtml/itemId/494356>`__",date,"The date of each mental health service contact between a health service provider and patient/client."
"`Service Contact - Type`_ (service_contact_type)

",string,":1: Assessment
:2: Structured psychological intervention
:3: Other psychological intervention
:4: Clinical care coordination/liaison
:5: Clinical nursing services
:6: Child or youth specific assistance NEC
:7: Suicide prevention specific assistance NEC
:8: Cultural specific assistance NEC"
"`Service Contact - Postcode`_ (service_contact_postcode)



METeOR: `429894 <http://meteor.aihw.gov.au/content/index.phtml/itemId/429894>`__",string[4],"The Australian postcode where the service contact took place."
"`Service Contact - Modality`_ (service_contact_modality)

",string,":1: Face to Face
:2: Telephone
:3: Video
:4: Internet-based"
"`Service Contact - Participants`_ (service_contact_participants)

",string,":1: Individual client
:2: Client group
:3: Family / Client Support Network
:4: Other
:9: Not stated"
"`Service Contact - Venue`_ (service_contact_venue)

",string,":1: Client's Home
:2: Service provider's office
:3: GP Practice
:4: Other medical practice
:5: Headspace Centre
:6: Other primary care setting
:7: Public or private hospital
:8: Aged care centre
:9: School or other educational centre
:10: Client's Workplace
:11: Other
:98: Not applicable (Service Contact Modality is not face to face)"
"`Service Contact - Duration`_ (service_contact_duration)

",string,":1: 0-15 mins
:2: 16-30 mins
:3: 31-45 mins
:4: 46-60 mins
:5: 61-75 mins
:6: 76-90 mins
:7: 91-105 mins
:8: 106-120 mins
:9: over 120 mins"
"`Service Contact - Copayment`_ (service_contact_copayment)

",number,"The co-payment is the amount paid by the client per session."
"`Service Contact - Client Participation Indicator`_ (service_contact_participation_indicator)



METeOR: `494341 <http://meteor.aihw.gov.au/content/index.phtml/itemId/494341>`__",string,":1: Yes
:2: No"
"`Service Contact - Interpreter Used`_ (service_contact_interpreter)

",string,":1: Yes
:2: No
:9: Not stated"
"`Service Contact - No Show`_ (service_contact_no_show)

",string,":1: Yes
:2: No"
"`Service Contact - Final`_ (service_contact_final)

",string,":1: No further services are planned for the client in the current episode
:2: Further services are planned for the client in the current episode
:3: Not known at this stage"
"`Service Contact - Tags`_ (service_contact_tags)

",string,"List of tags for the service contact."
